error type:,error example:,correction:,explanation:
article_gender,"""Ich habe ein Tasse Kaffee getrunken.""","""Ich habe eine Tasse Kaffee getrunken.""","""Tasse is feminine, so it requires the feminine article 'eine' not the neutral 'ein'."""
case_dative,"""Ich gebe der Mann das Buch.""","""Ich gebe dem Mann das Buch.""","""After the preposition 'zu', the noun requires the dative case, so 'der Mann' becomes 'dem Mann'."""
verb_tense,"""Gestern ich gehe ins Kino.""","""Gestern ging ich ins Kino.""","""For past actions, use the simple past (Präteritum) or present perfect (Perfekt), not present tense."""
article_gender,Der Mädchen spielt im Garten.,Das Mädchen spielt im Garten.,"Mädchen' is a neuter noun (das) despite referring to a female, because diminutives ending in -chen are always neuter."
article_gender,Ich habe ein Tasse Kaffee getrunken.,Ich habe eine Tasse Kaffee getrunken.,"Tasse' is feminine, so it requires the feminine article 'eine' not the neutral 'ein'."
article_gender,Wo ist die Auto?,Wo ist das Auto?,"Auto' is neuter in German, so it takes the article 'das' not 'die'."
article_gender,Ich brauche der Schlüssel.,Ich brauche den Schlüssel.,"Schlüssel' is masculine, but in the accusative case (direct object) 'der' changes to 'den'."
article_gender,Die Sonne und der Mond ist am Himmel.,Die Sonne und der Mond sind am Himmel.,"With multiple subjects, the verb must be plural ('sind' instead of 'ist')."
case_dative,Ich gebe der Mann das Buch.,Ich gebe dem Mann das Buch.,"The indirect object 'Mann' requires the dative case, so 'der Mann' becomes 'dem Mann'."
case_accusative,Ich sehe die Frau und der Mann.,Ich sehe die Frau und den Mann.,"Direct objects require accusative case, so 'der Mann' (nominative) must become 'den Mann' (accusative)."
case_genitive,Das Auto mein Vater ist rot.,Das Auto meines Vaters ist rot.,"In the genitive case, masculine and neuter nouns add -s or -es and 'mein' becomes 'meines'."
case_accusative,Ich mag der Film.,Ich mag den Film.,"After the verb 'mögen' (to like), the object is in accusative case, so 'der Film' becomes 'den Film'."
case_preposition,Ich warte auf der Bus.,Ich warte auf den Bus.,The preposition 'auf' requires accusative case when indicating direction or waiting for something.
verb_tense,Gestern ich gehe ins Kino.,Gestern ging ich ins Kino.,"For past actions, use the simple past (Präteritum) or present perfect (Perfekt), not present tense."
verb_tense,Morgen ich bin zu Hause geblieben.,Morgen bleibe ich zu Hause.,"Future actions require present tense or future tense in German, not perfect tense."
verb_tense,Ich habe das Buch gelesen seit drei Stunden.,Ich lese das Buch seit drei Stunden.,"With 'seit' (since/for), use present tense for actions continuing into the present, not perfect tense."
verb_position,Gestern ich bin ins Kino gegangen.,Gestern bin ich ins Kino gegangen.,"In German, the conjugated verb must always be in the second position in main clauses."
verb_position,Ich weiß dass er kommt morgen.,"Ich weiß, dass er morgen kommt.","In subordinate clauses (after 'dass', 'weil', etc.), the verb must go to the end of the clause."
verb_position,"Weil ich bin müde, gehe ich schlafen.","Weil ich müde bin, gehe ich schlafen.","After 'weil' (because), the verb must go to the end of the clause."
modal_verb,Ich muss zu gehen jetzt.,Ich muss jetzt gehen.,"Modal verbs require the infinitive without 'zu', and the infinitive goes to the end of the clause."
modal_verb,Du nicht sollst so laut sprechen.,Du sollst nicht so laut sprechen.,"Negation with 'nicht' comes after the modal verb, not before it."
modal_verb,Ich kann nicht schwimmen gehen.,Ich kann nicht schwimmen gehen.,"With modal verbs and another infinitive, the modal is conjugated and the other verb goes to the end."
separable_verb,Ich rufe meine Mutter morgen an.,Ich rufe morgen meine Mutter an.,"With separable verbs, the prefix 'an' goes to the end, but adverbs like 'morgen' come before objects."
